count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
1001,2019,3,Scotland,3,"Glasgow City",M8,Major,16,15,259700,666300,55.86938300,-4.24372040,1.10,0.68,Counted,"Automatic counter",0,265,122416,466,24642,3378,654,760,254,1200,2102,8347,156136
1033,2019,3,Scotland,3,"Glasgow City",A82,Major,A804,A804,258123,666496,55.87068100,-4.26900320,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",85,90,16986,307,2705,163,39,23,8,11,43,287,20375
1106,2019,3,Scotland,3,"Glasgow City",A804,Major,A814,A82,258040,666270,55.86862800,-4.27021010,1.30,0.81,Estimated,"Estimated using previous year's AADF on this link",104,57,7279,19,1254,152,40,21,2,2,6,224,8833
50976,2019,3,Scotland,3,"Glasgow City",A739,Major,A82,"LA boundary",254700,669000,55.89214000,-4.32500240,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",96,100,25902,171,3220,189,51,46,6,25,29,346,29739
40919,2019,3,Scotland,3,"Glasgow City",A804,Major,M8/A879,A803,259700,666200,55.86848500,-4.24366860,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",165,21,7497,399,1153,120,32,12,5,9,13,191,9262
20916,2019,3,Scotland,3,"Glasgow City",A803,Major,A8,A804,260160,666040,55.86718300,-4.23624120,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",21,24,7341,242,818,77,8,11,8,10,4,117,8542
1011,2019,3,Scotland,3,"Glasgow City",A8,Major,"A8 Bridgegate",A89/A749,259560,664750,55.85542700,-4.24515260,0.30,0.19,Counted,"Manual count",298,79,10706,88,1556,99,41,43,13,7,7,209,12637
20816,2019,3,Scotland,3,"Glasgow City",A8,Major,A814,"A8 Saltmarket",259400,664700,55.85493100,-4.24768060,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",95,33,11380,275,2161,275,30,38,6,4,7,360,14209
83055,2019,3,Scotland,3,"Glasgow City",A728,Major,"B768 Prospecthill Road","A728 Polmadie Road",259285,661905,55.82980400,-4.24806680,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",130,109,21049,337,3275,347,137,100,30,22,17,653,25424
30820,2019,3,Scotland,3,"Glasgow City",A8,Major,"A814 Clyde St","A8 Bridgegate",259500,664600,55.85406200,-4.24603260,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",157,47,12962,111,3314,332,40,65,3,11,9,459,16894
40924,2019,3,Scotland,3,"Glasgow City",A814,Major,A739,"A814 Finnieston St",255000,666500,55.86978700,-4.31887060,3.50,2.17,Estimated,"Estimated using previous year's AADF on this link",0,191,42981,362,6410,450,103,193,64,33,309,1152,51094
20902,2019,3,Scotland,3,"Glasgow City",A761,Major,A739,A8,255000,664140,55.84860000,-4.31760820,2.70,1.68,Estimated,"Estimated using previous year's AADF on this link",214,35,10251,611,1622,123,40,17,2,15,9,206,12724
82088,2018,3,Scotland,3,"Glasgow City",A77,Major,"Kingston Street",Broomielaw,258639,664693,55.85464600,-4.25982340,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",339,60,3984,761,501,59,16,1,6,5,3,89,5396
50976,2018,3,Scotland,3,"Glasgow City",A739,Major,A82,"LA boundary",254700,669000,55.89214000,-4.32500240,1.40,0.87,Counted,"Manual count",87,106,25581,170,3249,191,50,46,6,24,29,346,29452
80447,2018,3,Scotland,3,"Glasgow City",M8,Major,M8,M8,258000,665116,55.85825500,-4.27024410,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",0,146,52142,562,13631,1482,245,419,168,530,2183,5026,71507
82009,2018,3,Scotland,3,"Glasgow City",M74,Major,A74,A763,266314,662205,55.83449600,-4.13608740,2.60,1.62,Estimated,"Estimated using previous year's AADF on this link",0,236,57828,260,11086,2137,374,433,429,2594,3080,9049,78459
