road_name,start_junction_road_name,end_junction_road_name,cars_and_taxis,direction_of_travel,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
M77,B768,M77,4955,W,55.840478,-4.3064711,0.5,0.31,0,21,,25,1032,183,37,41,28,134,269,692,6725
M74,A730/B763,A8,35483,N,55.843738,-4.2572255,1.6,0.99,0,145,,160,6803,1311,230,266,264,1592,1890,5552,48143
M74,A730/B763,A8,35534,S,55.843738,-4.2572255,1.6,0.99,0,145,,160,6812,1313,230,266,264,1594,1893,5560,48211
M77,M77,B768,30617,E,55.84105,-4.3061695,0.3,0.19,0,112,,185,6117,585,183,381,69,221,505,1945,38976
M77,M77,B768,31911,W,55.84105,-4.3061695,0.3,0.19,0,127,,203,6573,616,157,344,87,269,595,2070,40884
M8,10,9,36352,E,55.863456,-4.1219196,1.4,0.87,0,101,,415,7556,1935,303,452,171,752,686,4300,48724
M8,10,9,33923,W,55.863456,-4.1219196,1.4,0.87,0,95,,388,7050,1806,282,421,160,702,641,4012,45467
M77,3,2,31780,N,55.811826,-4.3326589,2.3,1.43,0,102,,294,4768,991,205,326,154,438,479,2594,39538
M77,3,2,33254,S,55.811826,-4.3326589,2.3,1.43,0,107,,308,4989,1036,214,342,162,458,502,2713,41371
M8,Seaward Street,A8,3912,E,55.85238,-4.2725695,1,0.62,0,16,,20,815,145,29,32,22,106,213,546,5309
M74,M74,A8,9327,E,55.850509,-4.2657981,0.5,0.31,0,40,,89,1846,374,83,83,57,331,673,1599,12901
M74,A730/B763,A730/B763,25561,E,55.837447,-4.2394684,0.9,0.56,0,110,,243,5058,1026,226,226,155,906,1844,4383,35355
M74,A730/B763,A730/B763,26552,W,55.837447,-4.2394684,0.9,0.56,0,114,,253,5254,1066,235,235,161,942,1915,4554,36727
M8,A814,M8,8998,S,55.860195,-4.2718114,0.6,0.37,0,38,,82,1991,204,40,92,9,11,37,394,11503
M8,M73,LA boundary,28670,E,55.851795,-4.0864554,0.4,0.25,0,100,,207,6871,1802,374,470,290,604,554,4093,39942
M8,M73,LA boundary,27764,W,55.851795,-4.0864554,0.4,0.25,0,98,,201,6654,1744,363,455,281,584,536,3964,38681
M74,M74,A74,3408,W,55.834744,-4.1686469,0.5,0.31,0,15,,32,674,137,30,30,21,121,246,584,4714
M77,B768,M74/M77/M8,34914,E,55.845182,-4.2995932,0.7,0.43,0,128,,211,6976,667,208,435,79,252,576,2218,44447
M77,B768,M74/M77/M8,36682,W,55.845182,-4.2995932,0.7,0.43,0,146,,234,7556,708,181,395,100,310,684,2379,46996
M74,A74,M74,6089,W,55.835615,-4.1738057,0.4,0.25,0,26,,58,1205,244,54,54,37,216,439,1044,8423
M8,M8,Waterloo Street,5628,W,55.860873,-4.2666893,0.5,0.31,0,23,,486,752,54,13,4,2,4,5,80,6969
M8,M8,Pitt Street,16161,E,55.861943,-4.2671671,0.5,0.31,0,60,,723,2322,172,17,5,10,11,9,225,19492
M8,M8,M74,28922,E,55.849439,-4.301682,1,0.62,0,122,,148,6025,1069,214,237,161,785,1571,4037,39254
M8,M8,M74,28381,W,55.849439,-4.301682,1,0.62,0,119,,145,5913,1049,210,232,158,770,1542,3962,38520
M74,M74,A730/B763,5396,E,55.837248,-4.2380675,0.4,0.25,0,23,,51,1068,217,48,48,33,191,389,925,7463
M8,M74/M77/M8,A8,42413,E,55.849759,-4.2796537,1.4,0.87,0,178,,217,8836,1568,314,347,236,1151,2304,5921,57565
M8,M74/M77/M8,A8,46184,W,55.849759,-4.2796537,1.4,0.87,0,194,,236,9622,1708,342,378,257,1253,2509,6447,62683
M74,M74,A763,4552,W,55.835195,-4.1573175,0.3,0.19,0,20,,43,901,183,40,40,28,161,328,781,6297
M74,M74,A74,3613,E,55.835499,-4.169679,0.4,0.25,0,16,,34,715,145,32,32,22,128,261,620,4998
M8,14,13,32002,E,55.867746,-4.2100609,1,0.62,0,156,,637,6479,1554,177,236,117,684,521,3289,42562
