count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
82098,3,Scotland,3,"Glasgow City",A8,Major,"Tradeston Street","West Street",258312,664340,55.85138000,-4.26485820,0.10,0.06
82097,3,Scotland,3,"Glasgow City",A8,Major,"Cook Street","Wallace Street",258363,664364,55.85161100,-4.26405680,0.10,0.06
82096,3,Scotland,3,"Glasgow City",A8,Major,"Cook Street","Wallace Street",258282,664383,55.85175800,-4.26535950,0.10,0.06
82095,3,Scotland,3,"Glasgow City",A8,Major,"Wallace Street","Nelson Street",258397,664500,55.85284200,-4.26358520,0.10,0.06
82094,3,Scotland,3,"Glasgow City",A8,Major,"Nelson Street","Kingston Street",258416,664583,55.85359300,-4.26332530,0.10,0.06
82093,3,Scotland,3,"Glasgow City",A77,Major,"Cook Street/Bedford Street","Wallace Street/Coburg Street",258652,664329,55.85138100,-4.25942620,0.10,0.06
82092,3,Scotland,3,"Glasgow City",A77,Major,"Wallace Street/Coburg Street","Norfolk Street",258677,664428,55.85227800,-4.25907880,0.10,0.06
82091,3,Scotland,3,"Glasgow City",A77,Major,"Norfolk Street","Oxford Street",258703,664535,55.85324600,-4.25871960,0.10,0.06
82090,3,Scotland,3,"Glasgow City",A77,Major,"Oxford Street","Broomielaw/Clyde Street",258753,664743,55.85512800,-4.25802990,0.30,0.19
82089,3,Scotland,3,"Glasgow City",A77,Major,"Nelson Street","Kingston Street",258605,664551,55.85336100,-4.26029210,0.10,0.06
82088,3,Scotland,3,"Glasgow City",A77,Major,"Kingston Street",Broomielaw,258639,664693,55.85464600,-4.25982340,0.30,0.19
82087,3,Scotland,3,"Glasgow City",A8,Major,"Tradeston Street","West Street",258323,664453,55.85239800,-4.26474170,0.10,0.06
82086,3,Scotland,3,"Glasgow City",A8,Major,"Eglinton Street","Tradeston Street",258486,664299,55.85106300,-4.26205990,0.30,0.19
82085,3,Scotland,3,"Glasgow City",A8,Major,"Eglinton Street","Tradeston Street",258610,664383,55.85185400,-4.26012470,0.30,0.19
82084,3,Scotland,3,"Glasgow City",A8,Major,"Tradeston Street","Camoustie Street",258318,664668,55.85432700,-4.26493390,0.40,0.25
82083,3,Scotland,3,"Glasgow City",M8,Major,"A8 (West Street)",M8,258241,664429,55.85215900,-4.26603790,0.50,0.31
82082,3,Scotland,3,"Glasgow City",M8,Major,"A8 (West Street)",M8,258204,664383,55.85173613,-4.26660446,0.50,0.31
82081,3,Scotland,3,"Glasgow City",A8,Major,M8,"Morrison Street",258072,664515,55.85288100,-4.26878020,0.40,0.25
82079,3,Scotland,3,"Glasgow City",A728,Major,"B763 Dunn Street",A749,261772,664080,55.85005000,-4.20950340,0.70,0.43
82078,3,Scotland,3,"Glasgow City",A728,Major,A749,A74,261427,663440,55.84420500,-4.21468260,0.80,0.50
82077,3,Scotland,3,"Glasgow City",A74,Major,"B763 Dunn Street",A749,261000,664000,55.84911000,-4.22178320,1.10,0.68
82076,3,Scotland,3,"Glasgow City",A74,Major,"Fullarton Road roundabout","B763 Dunn Street",262500,663700,55.84684700,-4.19769200,2.90,1.80
82075,3,Scotland,3,"Glasgow City",A89,Major,"B763 Millerston Street","B765 Killin St",263000,664420,55.85345400,-4.19007630,3.00,1.86
82074,3,Scotland,3,"Glasgow City",A89,Major,A8,A728,260500,664770,55.85587900,-4.23015890,2.30,1.43
82047,3,Scotland,3,"Glasgow City",M8,Major,M8,M74,256000,664200,55.84943900,-4.30168200,1.00,0.62
82046,3,Scotland,3,"Glasgow City",M77,Major,M77,M8,256247,664120,55.84879400,-4.29769780,0.70,0.43
82045,3,Scotland,3,"Glasgow City",M8,Major,M74,"Seaward Street",257381,664134,55.84925600,-4.27960830,0.40,0.25
82044,3,Scotland,3,"Glasgow City",M8,Major,M74,"Seaward Street",257361,664228,55.85009400,-4.27997690,0.40,0.25
82043,3,Scotland,3,"Glasgow City",M8,Major,"Seaward Street",A8,257875,664322,55.85109000,-4.27182320,0.90,0.56
82042,3,Scotland,3,"Glasgow City",M8,Major,"Seaward Street",A8,257833,664467,55.85238000,-4.27256950,1.00,0.62
82041,3,Scotland,3,"Glasgow City",M77,Major,B768,M77,255667,663213,55.84047800,-4.30647110,0.50,0.31
82040,3,Scotland,3,"Glasgow City",M8,Major,M74/M77/M8,A8,257380,664190,55.84975900,-4.27965370,1.40,0.87
82039,3,Scotland,3,"Glasgow City",M8,Major,M74/M77/M8,"Seaward Street",256946,664204,55.84975600,-4.28658720,0.30,0.19
82038,3,Scotland,3,"Glasgow City",M77,Major,M74/M77/M8,M8,256247,664120,55.84879400,-4.29769780,0.70,0.43
82037,3,Scotland,3,"Glasgow City",M77,Major,B768,M74/M77/M8,256115,663722,55.84518200,-4.29959320,0.70,0.43
82036,3,Scotland,3,"Glasgow City",M77,Major,M77,B768,255576,663254,55.84081900,-4.30794480,0.40,0.25
82035,3,Scotland,3,"Glasgow City",M74,Major,M74,A8,258250,664245,55.85050900,-4.26579810,0.50,0.31
82034,3,Scotland,3,"Glasgow City",M74,Major,M74,A8,258098,664261,55.85060800,-4.26823230,0.40,0.25
82033,3,Scotland,3,"Glasgow City",M74,Major,A730/B763,M74,259630,662881,55.83866700,-4.24306820,0.50,0.31
82032,3,Scotland,3,"Glasgow City",M74,Major,A730/B763,M74,259604,662829,55.83819300,-4.24345620,0.40,0.25
82031,3,Scotland,3,"Glasgow City",M74,Major,M74,A730/B763,259862,662687,55.83699300,-4.23926660,0.40,0.25
82030,3,Scotland,3,"Glasgow City",M74,Major,M74,A730/B763,259938,662713,55.83724800,-4.23806750,0.40,0.25
82025,3,Scotland,3,"Glasgow City",M74,Major,A74,M74,263932,662490,55.83638900,-4.17423230,0.50,0.31
82024,3,Scotland,3,"Glasgow City",M74,Major,A74,M74,263956,662403,55.83561500,-4.17380570,0.40,0.25
82023,3,Scotland,3,"Glasgow City",M74,Major,M74,A74,264214,662382,55.83549900,-4.16967900,0.40,0.25
82022,3,Scotland,3,"Glasgow City",M74,Major,M74,A74,264276,662296,55.83474400,-4.16864690,0.50,0.31
82021,3,Scotland,3,"Glasgow City",M74,Major,M74,A763,264987,662324,55.83519500,-4.15731750,0.30,0.19
82020,3,Scotland,3,"Glasgow City",M74,Major,M74,A763,264985,662383,55.83572400,-4.15737870,0.40,0.25
82019,3,Scotland,3,"Glasgow City",M74,Major,A8,"Seaward Street",258016,664319,55.85110500,-4.26957130,1.30,0.81
82018,3,Scotland,3,"Glasgow City",M74,Major,A730/B763,A8,258762,663474,55.84373800,-4.25722550,1.60,0.99
82017,3,Scotland,3,"Glasgow City",M74,Major,A730/B763,A730/B763,259851,662738,55.83744700,-4.23946840,0.90,0.56
82016,3,Scotland,3,"Glasgow City",M74,Major,A724,A730/B763,260176,662450,55.83495600,-4.23413490,0.20,0.12
82011,3,Scotland,3,"Glasgow City",M74,Major,A74,A74,264081,662392,55.83555100,-4.17180600,0.90,0.56
82010,3,Scotland,3,"Glasgow City",M74,Major,A763,A74,264707,662311,55.83500000,-4.16177820,0.60,0.37
82009,3,Scotland,3,"Glasgow City",M74,Major,A74,A763,266314,662205,55.83449600,-4.13608740,2.60,1.62
81521,3,Scotland,3,"Glasgow City",A814,Major,M8/A804,"A814 Bromielaw",258239,665218,55.85924100,-4.26648240,0.70,0.43
81005,3,Scotland,3,"Glasgow City",A8,Major,M8,"TRADESTON STREET",258140,664380,55.85169036,-4.26762432,0.40,0.25
81004,3,Scotland,3,"Glasgow City",A77,Major,A77,A77,258370,663330,55.84233000,-4.26340530,1.60,0.99
81003,3,Scotland,3,"Glasgow City",A77,Major,A8,A814,258740,664700,55.85473947,-4.25821508,0.30,0.19
81002,3,Scotland,3,"Glasgow City",A77,Major,A814,A77,258640,664720,55.85488971,-4.25982162,0.30,0.19
81001,3,Scotland,3,"Glasgow City",A77,Major,A77,A77,258680,664440,55.85238763,-4.25903725,0.20,0.12
81000,3,Scotland,3,"Glasgow City",A8,Major,A8,A730,259000,664400,55.85212100,-4.25390910,0.20,0.12
80999,3,Scotland,3,"Glasgow City",A8,Major,A8,A8,258730,664470,55.85267162,-4.25825487,0.10,0.06
80998,3,Scotland,3,"Glasgow City",A8,Major,A8,A8,258810,664560,55.85350307,-4.25702490,0.20,0.12
80997,3,Scotland,3,"Glasgow City",A8,Major,"TRADESTON STREET",A77,258490,664300,55.85107499,-4.26199663,0.50,0.31
80996,3,Scotland,3,"Glasgow City",A8,Major,"TRADESTON STREET",A77,258510,664410,55.85206843,-4.26173482,0.50,0.31
80995,3,Scotland,3,"Glasgow City",A8,Major,A8,A77,258500,664640,55.85413041,-4.26201444,0.40,0.25
80994,3,Scotland,3,"Glasgow City",A8,Major,A8,A77,258500,664530,55.85314284,-4.26195704,0.40,0.25
80993,3,Scotland,3,"Glasgow City",A8,Major,A8,A8,258230,664660,55.85423064,-4.26633432,0.40,0.25
80992,3,Scotland,3,"Glasgow City",A8,Major,A8,A8,258310,664570,55.85344615,-4.26501042,0.40,0.25
80991,3,Scotland,3,"Glasgow City",A8,Major,M8,A8,258100,664500,55.85275400,-4.26832540,0.50,0.31
80596,3,Scotland,3,"Glasgow City",M77,Major,2,1,254000,661850,55.82774000,-4.33233440,2.80,1.74
80587,3,Scotland,3,"Glasgow City",M74,Major,2,1,264600,662300,55.83487277,-4.16347987,0.99,0.62
80586,3,Scotland,3,"Glasgow City",M74,Major,3,2,266000,662200,55.83436584,-4.14109458,3.00,1.86
