,RecTime,measurementSiteReference,basicDataValue.vehicleFlow
586,2021-12-02T20:21:08,GC0271_C,0
588,2021-12-02T20:21:08,GA1251_S,0
590,2021-12-02T20:21:08,GC0271_B,2
592,2021-12-02T20:21:08,GA1251_R,0
594,2021-12-02T20:21:08,GC0271_A,5
596,2021-12-02T20:21:08,GA4871_H,6
598,2021-12-02T20:21:08,GA4871_D,12
600,2021-12-02T20:21:08,GA4871_A,51
602,2021-12-02T20:21:08,GH0301_D,8
604,2021-12-02T20:21:08,GH0301_C,6
606,2021-12-02T20:21:08,GH0301_B,13
608,2021-12-02T20:21:08,GH0301_A,20
610,2021-12-02T20:21:08,GH340A_V,4
612,2021-12-02T20:21:08,GA4351_T,14
614,2021-12-02T20:21:08,GA4351_S,21
616,2021-12-02T20:21:08,GH340A_T,7
618,2021-12-02T20:21:08,GD0501_H,0
620,2021-12-02T20:21:08,GD0501_D,8
622,2021-12-02T20:21:08,GD0501_C,16
624,2021-12-02T20:21:08,GD0501_B,14
626,2021-12-02T20:21:08,GL4101_T,27
628,2021-12-02T20:21:08,GB0601_D,18
630,2021-12-02T20:21:08,GB0601_C,13
632,2021-12-02T20:21:08,GB0601_B,8
634,2021-12-02T20:21:08,GJ2851_R,13
636,2021-12-02T20:21:08,GE2291_W,0
638,2021-12-02T20:21:08,GA2051_V,0
640,2021-12-02T20:21:08,GE2291_V,0
642,2021-12-02T20:21:08,GA2901_D,0
644,2021-12-02T20:21:08,GA2901_C,0
646,2021-12-02T20:21:08,GE2291_S,0
648,2021-12-02T20:21:08,GA2901_B,0
650,2021-12-02T20:21:08,GE2291_R,0
652,2021-12-02T20:21:08,GA2051_R,0
654,2021-12-02T20:21:08,GJ2851_D,13
656,2021-12-02T20:21:08,GA0601_V,9
658,2021-12-02T20:21:08,GJ2851_C,36
660,2021-12-02T20:21:08,GA0601_T,1
662,2021-12-02T20:21:08,GG1201_B,20
664,2021-12-02T20:21:08,GG1201_A,5
666,2021-12-02T20:21:08,GK045A_V,2
668,2021-12-02T20:21:08,GK045A_T,24
670,2021-12-02T20:21:08,GL0451_D,9
672,2021-12-02T20:21:08,GL0451_C,2
674,2021-12-02T20:21:08,GL0451_B,22
676,2021-12-02T20:21:08,GL0451_A,13
678,2021-12-02T20:21:08,GC1401_H,20
